System_Ref,FIS_Provider_Name,Provider_Type_Description,Language_Spoken_Description,Upload_to_FIDy
6198,Fenstanton Infant School - After School Club,After School Club,English,ECD
6213,Cherubins Holiday Club,Holiday Provision,English,FSD
6578,Oakden Kids Club,Holiday Provision,English,FSD
6580,Corpus Christi Catholic Primary School - Breakfast Club,Breakfast Club,English,FSD
6583,Archbishop Sumner School - Breakfast Club,Breakfast Club,English,ECD
6584,Jessop Primary School - Breakfast Club,Breakfast Club,English,ECD
6585,Jessop Primary School - After School Club,After School Club,English,ECD
6586,Holy Trinity Church Of England Primary School - Breakfast Club,Breakfast Club,English,ECD
6587,Kings Avenue Primary School - Breakfast Club,Breakfast Club,English,ECD
6588,Kings Avenue Primary School - After School Club,After School Club,English,ECD
6589,Kingswood Primary School - Breakfast Club,Breakfast Club,English,ECD
6590,Kingswood Primary School - After School Club,After School Club,English,ECD
6591,Larkhall Children's Centre - Breakfast Club,Breakfast Club,English,ECD
6592,Larkhall Children's Centre - After School Club,After School Club,English,ECD
6602,St Andrew's Roman Catholic Primary - Sunrise Breakfast Club,Breakfast Club,English,ECD
6603,Telferscot Primary School - Breakfast Club,Breakfast Club,English,ECD
6606,Henry Cavendish Primary School  - Breakfast Club (Streatham),Breakfast Club,English,ECD
6607,St Saviour's School - Breakfast Club,Breakfast Club,English,ECD
6661,Explore Learning Brixton,Out Of School Tuition,English,FSD
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),Organisation,English,FSD
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),Organisation,Spanish,FSD

