System_Ref,Name,Telephone,Mobile,E_Mail,Publication_URL,WebSiteCorrected,Availability_Start_Date,Availability_End_Date,Last_Modified,Service_Description,Upload_to_FIDy,Per_Hour,Total_Cost__Hour,Per_Day,Total_Cost__Day,Per_Session,Total_Cost__Session,Per_Week,Total_Cost__Week,Per_Term,Total_Cost__Term,By_Arrangement,Is_Free,Registered_for_Nursery_Grant,Registered_for_2yr_old_Funding,Offers_Extended_Hours,Offers_Stretched_Entitlement,Contact_For_Vacancy_Details,Immediate_Vacancies_Available,Opening_Times_Code,Opening_Times_Description,Note,Provider_Type_Description
701,Streatham & Clapham High School Junior Dept,020 8674 6912,,admissions@schs.gdst.net,http://www.schs.gdst.net/2288/information/policies-and-procedures,http://www.schs.gdst.net/,30/10/2009,,25/01/2022,"Head of Nursery: Ruth Lockyer

WHY A GIRLS’ NURSERY? 

The difference in development between boys and girls is especially pronounced in Nursery.  Because girls develop physically, intellectually and socially earlier than boys of the same age, our girl-specialist focus means we ensure that our girls are never held back from their aspirations or abilities.  The confidence we instil continues throughout the entirety of their academic experience and even for the rest of their lives.
 ",ECD,False,,False,,False,,False,,True,1962,False,False,True,True,True,False,False,True,TT,Term Time,,Independent School
702, London Steiner School,020 3417 3190,,office@londonsteinerschool.org,http://londonsteinerschool.org/wp-content/uploads/2018/11/LSS-SEND-Policy-2018.pdf,http://londonsteinerschool.org/,30/10/2009,,28/04/2022,"The Waldorf School of South West London (now trading as London Steiner School) is a registered charity, founded in 1983, with the intention of making Steiner Waldorf education available to children regardless of race, creed or social class. The School receives no statutory or trust funding and is totally dependent on the commitment of the School community.

We are part of the international Steiner/Waldorf school movement and have a very supportive ‘sister school’, The Hamburg–Harburg Waldorfschule in Germany. 

As Steiner Waldorf teachers we strive to recognise and nourish the individuality that lives within each child. A consciously developed teacher-child relationship and the creation of the harmonious social organism within the class allows the rich Steiner Waldorf curriculum to meet and stimulate the children as they grow through each particular stage of development.

As Waldorf teachers we also endeavour to nourish the sense of wonder and reverence that children bring with them into life – gifts so often undermined by the pace and pressures of modern existence. We strive for high standards of work and behaviour and recognise that alongside an all-round ability and the self-confidence to participate fully in life, children should also take from their school a moral sense of gratitude and responsibility for the earth and for their fellow human beings.
",ECD,False,,False,,False,,False,,False,,False,False,True,True,True,False,True,False,TT,Term Time,"For information on costs, please visit below website hyperlink::
http://londonsteinerschool.org/admissions-2/fees/",Independent School
703,Lollard Street Adventure Playground,020 7793 9592,,info@lollardsplay.org.uk,,http://www.lollardstplay.org.uk/,30/10/2009,,28/01/2022,"Lollard Street Adventure Playground provides an exciting play space for all children aged 6-16 years of age. We provide a variety of indoor and outdoor activities and spaces allowing children to initiate their own projects and play environments. 

There is no charge to use our adventure playground however we do ask every child and young person to fill out a membership form before attending. Once this is done you are free to turn up and play. Trained staff are on hand to ensure your safety and to enhance everyone’s play experience.
",FSD,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,TT,Term Time,,Adventure Playground
706,Willington Road Youth & Community Hub,020 7926 4367,07534 224 019,,,,02/11/2009,,28/01/2022,"Willington Road Youth & Community Hub provides a safe and encouraging environment for young people and the residents of North Clapham, West Brixton, and South Stockwell areas. 

We offer support towards the development of children and young people through, engaging in positive activities, offering formal and informal educational opportunities. To support and help young people to fulfill their potential and improve their well-being both physically and emotionally.

For more information get in touch or follow us; 

Twitter @WillingtonHub

",FSD,False,,False,,False,,False,,False,,False,True,False,False,False,False,True,False,AY,All Year,,Adventure Playground
709,Triangle Adventure Playground,07900 475 143,,triangleapg@gmail.com,,http://triangleadventureplayground.com/,02/11/2009,,28/01/2022,"The Adventure Playground’s aim is to fulfil the child’s need to play by offering a safe, secure and supervised environment that includes indoor and outdoor activities.

The Playground engages each child in all different aspects of play including social interaction, boisterous, physical, cultural and challenging activities. The making and doing of things including arts and crafts and imaginary and imitative activities are encouraged.

Sports and Play are a key part for the development of children’s healthy lifestyles together with a range of exciting outdoor play structures to test physical skills and risk taking activities to develop self esteem and confidence.

The playground is open during term time Monday - Friday 3.30pm - 6pm and for the extended day during school holiday time. Monday - Friday 12 - 6pm

Safeguarding: Staff are CRB checked.
",FSD,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True,AY,All Year,,Adventure Playground
802,Elm Court School,020 8674 3412,,admin@elmcourt.lambeth.sch.uk,http://www.elmcourt.lambeth.sch.uk/policies/,http://www.elmcourt.lambeth.sch.uk/,15/01/2010,,28/01/2022,"Headteacher: Ms Joanna Tarrant

Elm Court is a special secondary school for students who have Learning Difficulties with associated Social and Communication Needs. Many of our students have Autism. We provide a creative and practical learning environment with a focus upon achievement and the development of Citizenship and Life Skills.

Our students are set challenging academic and personal targets to ensure that they achieve the best that they can whilst at the school and are well prepared for the next stage in their education and employment. 
",ECD,False,,False,,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,Special Schools
803,Lansdowne School,020 7737 3713,,executiveheadteacher@lansdowne.lambeth.sch.uk,http://www.lansdowneschool.co.uk/lansdowne-school-send-information-and-report/,http://www.lansdowneschool.co.uk/,15/01/2010,,28/01/2022,"Executive Head Teacher: Mrs Linda Adams

Lansdowne is a secondary school for young people aged 11–19 years who have special educational needs. The primary need of our students is autism with associated communication difficulties and speech and language delay or disorder.

The school is in a purpose built new building which has been designed specially to meet the needs of young people with autism.

The school aims to ensure that our students receive all the support and challenge they need to achieve within a safe and secure environment. We provide an environment in which students are taught a curriculum appropriate to their needs, and are offered the level of support they need to be successful.

",ECD,False,,False,,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,Special Schools
804,The Michael Tippett School,020 7326 5898,07505 859 701,contact@tmts.lambeth.sch.uk,http://www.tmts.me.uk/OurSchool/Policies-Plans/,http://www.tmts.me.uk/,15/01/2010,,28/01/2022,"Executive Head; Marilyn Ross

In the heart of Herne Hill The Michael Tippett Group is a stand out special needs organisation for students with a range of complex needs. The TMTS Group consists of a School and College. The school caters for student 11–19.

As an organisation we want to host the best provision possible for our students in order to enable them to develop their full potential for and full active lives, by being passionate, aspirational and creative in our practice.

At the Michael Tippett Group we are working with an enriched curriculum to enhance the student experience and encourage lifelong learning for all students.
",FSD,False,,False,,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,Special Schools
805,Turney Primary And Secondary Special School,020 8670 7220,,office@turney.org.uk,http://turneyschool.co.uk/turney-school-send-information-and-report/,http://www.turneyschool.co.uk,15/01/2010,,28/01/2022,"Executive Head Teacher: Linda Adams                              

Turney is a school for children and young people with special educational needs aged from 4-18 years. The primary need of our pupils is autism, with associated 
communication difficulties and complex global delay. 

The school is on one site and consists of five key stages. Developing the whole child and young person 
is important to us. Our ethos is to provide a secure, caring and supportive environment in which there is an expectation of pupil achievement, raised attainment, success and pupil well-being. We aim for pupils to leave Turney as confident, independent young people ready to start their next stage of learning.
",ECD,False,,False,,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,Special Schools
874,The Livity School,020 8769 1009,,admin@thelivity.lambeth.sch.uk,http://www.thelivityschool.co.uk/page/?title=Home&pid=1,https://www.thelivityschool.co.uk/,03/02/2010,,28/01/2022,"Principal: Mrs Carol Argent

The Livity School is a primary school for children with severe learning difficulties, PMLD, ASD and complex medical needs. The school building is purpose built to meet the needs of all the pupils with special educational needs and disabilities (SEND). All pupils have an Education, Health and Care Plan and individual learning  programmes detailing what and how they learn. 

The school aims to offer all its children a motivating and accessible education, within a safe and secure ennvironment. Importance is placed on developing a communication skills and offering a sensory approach to the curriculum.

",FSD,False,,False,,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,Special Schools
875,Allen Edwards Primary School - After School Club,020 7622 3985,,office@allenedwards.lambeth.sch.uk,http://www.allenedwards.co.uk/send-report/,https://www.allenedwards.co.uk/wellbeing,03/02/2010,,28/02/2022,After School Club for children attending Allen Edwards Primary School.,ECD,False,,True,7,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,After School Club
877,Cherubins Day Nursery Ltd,020 8671 3256,07904 455 153,managerlewisham@cherubinsdaynursery.co.uk,,http://www.cherubinsdaynursery.co.uk/,03/02/2010,,03/02/2022,"Cherubins offer an after-school club from Monday to Friday between 3.00p.m. to 6.30 p.m.  We provide a variety of activities for children aged between 4 to 10 year olds.  

The activities we provide are; Arts and craft activities, Drama activities, Music making, Cooking, Outdoor sports, Board games, Educational IT games, Karaoke and homework help.

Our children are collected from selected neighbouring schools by minibus or walking taxi.  When all children have been collected they will have afternoon tea.  If requested we will offer support whilst children completer homework (if they wish).  Throughout this time the children have access to all their chosen activities the would like to experience.

If you are interested in the afterschool club, please enquire with the Nursery Manager to find out if we collect from your child's school.
",ECD,False,,False,,False,,False,,False,,False,False,True,True,False,False,True,False,AY,All Year,,After School Club
882,Holmewood Nursery School - After School Club,020 8674 2186,,admin@holmewood-nursery.lambeth.sch.uk,,http://www.holmewoodnurseryschool.org.uk/breakfast-and-after-school-club.html,04/02/2010,,28/01/2022,After school club offering childcare outside of normal school hours.,ECD,False,,False,,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,After School Club
883,Loughborough Primary School - After School Club,020 7274 8374,,office@loughborough.lambeth.sch.uk,https://www.loughboroughprimarylambeth.org.uk/Parents/SEN/,http://www.loughboroughprimarylambeth.org.uk/,04/02/2010,,31/01/2022,"Head teacher:Ms E Mauro

After School Club for children attending Loughborough Primary School.

We have a thriving After-School Club and Breakfast Club. We run holiday schemes during most of the school holidays and offer many after-school activities. We are also part of the Loughborough Federation of Schools and the Brixton Learning collaborative, both local groups of schools ",ECD,False,,True,9,False,,False,,False,,False,False,False,False,False,False,True,False,AY,All Year,,After School Club
885,Julians Primary School - Breakfast Club,020 8761 1894,,admin@juliansprimary.org.uk,https://www.juliansprimary.org.uk/static/media/uploads/documents/admin%20documents/send_information_report_oct_2017.pdf ,http://www.juliansprimary.org.uk/about-us/school-information/school-clubs/,04/02/2010,,31/01/2022,Breakfast Club for children attending Julians Primary School.,ECD,False,,False,,False,,False,,False,,False,False,True,True,False,False,True,False,TT,Term Time,"Cost:
£3 per day but if a child comes at 8.30am, the cost is only £1",Breakfast Club
890,Telferscot Primary School - After School Club,020 8673 7362,,sburrows@telferscot.co.uk,,https://www.telferscot.co.uk/Extended-School/,04/02/2010,,16/02/2022,"Telferscot offers After School Club (TASC) for our Reception to Year 6 pupils, which provides families with flexible and affordable childcare options to balance their commitments. 

Our extended school offering is extremely popular with Telferscot children, allowing them to take part in a wide variety of exciting activities and special interest clubs. The children can have fun and relax in a familiar and safe environment with staff that they know and trust.
",ECD,False,,False,,True,12.5,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,"Pick-up times for TASC are 5.00pm to 5.10pm or 5.45pm to 6.00pm.

Sessions are pre-booked, but if you do require a place, please email Sammi directly. Please note that we are not currently offering ad hoc places. This will be reviewed as the term goes on.
",After School Club
893,Christ Church Primary Sw9 - After School Club,020 7735 1343,,admin@christchurchschool.cc,http://christchurchschool.cc/inclusion/,http://www.christchurchschool.cc/after-school-club/,04/02/2010,,23/02/2022,"After School Activities and After School Club for pupils from Christ Church SW9 Primary School.

At Christ Church you have the option of childcare from the end of the standard school day up until 6:00pm, and you can collect your child at any point during the after school programme.

We break this extended after school care into two sections: After School Activities from 3:30pm until 4:30pm and After School Club from 4:30pm until last pick-up at 6:00pm 

The activities that begin after the end of the school day offer a whole range of structured options for your child that are creative, stimulating and fun which take place both indoors and outside, weather permitting.

All children who stay for After School Club are provided with a healthy and nutritious snack at 4:30pm. 
",ECD,False,,True,11,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,"After School Activities (until 4:30pm) - £4.00 per day.
After School Activities plus After School Club (until 6:00pm) - £11.00 per day
",After School Club
894,Durand Academy - After School Club,020 7735 8348,,info@durandacademy.com,https://www.vangoghprimary.org.uk/1083/send-information-report,https://www.vangoghprimary.org.uk/,04/02/2010,,28/01/2022,"Head of School: Mr Aaron Hadley
After School Club for children attending Van Gogh Primary School

Van Gogh Primary runs a variety of one hour afterschool clubs and activities as well as Afterschool Provision which runs until 6pm. Clubs and Afterschool Provision are run at an additional cost.",ECD,False,,False,,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,After School Club
897,Hitherfield Primary School - After School Club,020 8769 8428,,breakfastandafterschoolclub@hitherfield.co.uk,http://www.hitherfield.co.uk/Special-Educational-Needs-and-Disabilities,https://www.hitherfield.co.uk/parents/basc,04/02/2010,,03/02/2022,After School Club for children attending Hitherfield Primary School.,ECD,False,,True,11,True,11,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,After School Club
901,Rosendale Primary School After School Club,020 8670 4962,07720 677 830,info@rosendale.cc,http://www.rosendale.cc/policies-governance/policies/,http://www.rosendale.cc/info-for-parents/extended-childcare/,04/02/2010,,03/02/2022,"After School Club for children attending Rosendale Primary School.

Rosendale after school club is from 3.30pm – 5pm every day and needs to be pre-booked.  The cost of the Club is £8 per session.  There is no after school club on the last day of each term.

Childcare vouchers can be used to pay for After School Club.

",ECD,False,,False,,True,8,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,After School Club
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,07484 906 477,,admin@st-andrewsrc.lambeth.sch.uk,,http://twilightsclub.yolasite.com/,04/02/2010,,03/02/2022,"After School Club for children attending St Andrew's Roman Catholic Primary School.

Twilights provides exciting and stimulating care for children after school in a safe and friendly environment managed by professional staff. All of our staff are experienced in childcare supervision, work in the school and are all known to the children. We provide a variety of healthy snacks and facilitate lots of different fun activities on a daily basis.

Please call the office during the school day on 020 8769 4980 if you have any emergency queries about the club or to make a booking. 

",ECD,False,,False,,True,12,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,After School Club
903,Stockwell Primary School - After School Club,020 7274 7687,,clericalofficer2@stockwell-pri.lambeth.sch.uk,https://www.stockwell-pri.lambeth.sch.uk/Inclusion-and-SENCO/,http://www.stockwell-pri.lambeth.sch.uk/Curriculum/Extended-School/,04/02/2010,,28/01/2022,"After School Club for children attending Stockwell Primary School. Please contact provider as prices vary according to use of service. 

",ECD,False,,False,,True,7,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,"Lead Headteacher - Andrea Parker

The Ater School Club runs from 15:30 pm until 17:45 pm with a variety of games that the children can take part in the school playground. 

There is a charge per sessionof:
£2.00 from 15:30 pm to 16:30 pm
£7.00 from 15:30 pm to 17:45 pm 
£5.00 from 16.30 pm to 17.45 pm

We cater for the children from Nursery to Year 6 at 16:30 pm. 

A snack is provided and this includes pasta, wraps, soup, jacket potato and salads.
",After School Club
908,Vauxhall City Farm,020 7582 4204,,,,https://www.vauxhallcityfarm.org/visit-us/,04/02/2010,,07/02/2022,"Vauxhall City Farm is one of the oldest and most central city farms in London being located within earshot of Big Ben and in the shadow of MI6.  

Given the open access nature of the farm, it would be very easy to dismiss VCF as simply being a cute place to visit and ‘all about the animals’.  Behind the public face, the reality is that our animals, whilst much loved, are essentially a vehicle for education and change; the animals feature in many of our programmes and are key to helping our staff and volunteers engage with and deliver positive impact for both individual beneficiaries and groups from our wider community.

Our vision is a city where people from all communities are empowered to experience nature to enhance their health, well-being, and life chances and we use the setting of our urban farm to provide a wide range of educational, recreational and therapeutic support programmes and activities that:

• Support children and disadvantaged people to boost their confidence and aspirations via the development of personal, social, life and practical skills
• Promote emotional, mental, social and physical health and well-being
• Develop environmental awareness and action
• Strengthen community cohesion
• Create enjoyment and recreational opportunities for those from our local and wider communities
",FSD,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,AY,All Year,,Organisation
919,Macaulay Church Of England Primary School - Breakfast Club,020 7622 1355,,admin@macaulay.lambeth.sch.uk,http://fluencycontent2-schoolwebsite.netdna-ssl.com/FileCluster/MacaulayCE/MainFolder/SEND-Policy-2017-FINAL.pdf ,https://www.macaulaycofeschool.co.uk/breakfast-club/,17/02/2010,,17/02/2022,"Breakfast club is open between 8.00am and 8.40am (last breakfast served 8.30 am) and provides breakfast, games and activities for the children involved. At 8.40am the children are then taken directly to their classes. 

Children from nursery to Year 6 are welcome and our current adaptations mean that each class has their own table and resources.  

Places must be booked by Friday of the previous week.
",ECD,False,,True,3,False,,True,15,False,,False,False,True,True,False,False,True,False,TT,Term Time,,Breakfast Club
924,Hurley Pre-School,020 7582 1838,,hurleypreschool@gmail.com,,http://www.hurleypre-school.com/fees.html,17/02/2010,,07/12/2021,Breakfast club offering childcare outside of normal school hours.,ECD,False,,True,4,False,,False,,False,,False,False,False,False,False,False,True,False,AY,All Year,,Breakfast Club
925,Hurley Pre-School,020 7582 1838,,hurleypreschool@gmail.com,,http://www.hurleypre-school.com/fees.html,17/02/2010,,07/12/2021,After school club offering childcare outside of normal school hours.,ECD,False,,False,,True,4,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,,After School Club
941,Magic Roundabout Nurseries Ltd,020 7498 1193,,stockwell@mrnnursery.co.uk,,https://mrnnursery.co.uk/,21/05/2008,,14/04/2022,"Ofsted registered provision. 
Ofsted Unique Reference: EY152688",FSD,False,,True,,False,,True,92,False,,False,False,False,False,False,False,True,False,SH,School Holidays Only,,Holiday Playscheme
942,Loughborough Primary School - Breakfast Club,020 7274 8374,,office@loughborough.lambeth.sch.uk,https://www.loughboroughprimarylambeth.org.uk/Parents/SEN/,https://www.loughboroughprimarylambeth.org.uk/Parents/Breakfast-Afterschool-Clubs/,24/02/2010,,31/01/2022,"Head teacher:Ms E Mauro

Breakfast Club for children attending Loughborough Primary School.

We have a thriving After-School Club and Breakfast Club. We run holiday schemes during most of the school holidays and offer many after-school activities. We are also part of the Loughborough Federation of Schools and the Brixton Learning collaborative, both local groups of schools ",ECD,False,,True,3,False,,False,,False,,False,False,True,True,False,False,True,False,AY,All Year,,Breakfast Club
952,Whippersnappers Inclusive After School Club,020 7738 6633,,info@whippersnappers.org,,http://whippersnappers.org/kids-and-teens/after-school-clubs/,15/02/2010,,04/02/2022,"Our inclusive After-School Club is a fun and safe space for children to be creative, express themselves, socialise and unwind after a busy day at school.

We pride ourselves in being a child led organisation and every day we offer a variety of activities for your child to choose from.

We are OFSTED registered and all staff and volunteers are DBS checked. 

Activities on offer vary from day-to-day. Every day (weather permitting) we include outdoor play for the children to get some fresh air and a runaround. We have a wide range of outdoor and circus skills equipment including parachutes, balls, stilts, diablos, spinning plates, poi and hula-hoops.

Healthy sit-down meal provided daily. Please go to our website to find out more about the food we provide

Funding and Specialist Places

• Parents/carers with children with disability are encouraged to use funds from their care package to cover support worker costs to enable their child to access the after school club.
• Limited subsidised places are available for families who are not in receipt of Lambeth Direct payments. These places are funded by BBC Children In Need.
• Art and drama group therapy sessions take place on Wednesdays and Thursdays for children with a disability – admission by referrals from social workers, schools or parents/carers.
",FSD,False,,True,15,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,"Sessions cost: Sessions start from £15 a day

School pick ups: Turney, Rosendale, Judith Kerr, St Judes, Dulwich Hamlet, Dulwich Village and The Livity school
",After School Club
961,Streatham Wells Primary School - Breakfast Club,020 8674 3742,,kpeacock@streathamwells.lambeth.sch.uk,,http://www.streathamwells.lambeth.sch.uk/about-us/breakfast-club/,08/03/2010,,03/02/2022,"Breakfast Club for children attending Streatham Wells Primary School.

We have been running a highly popular Breakfast Club for Streatham Wells pupils since June 2008.

Breakfast Club is held within our Extended Services Centre and is open from 8.00am.  We offer healthy breakfasts, such as cereals, fruit juice, yoghurts, beans on toast and fruit.

Cost of Breakfast Club is £3.00 per day, payable in advance  (from Sept 2019)


In order to register your child and be placed on the waiting list, please download the registration form below, or collect one from our school office, complete and return.

Please note: Places are limited and cannot be used on an ad hoc basis.  Places will be offered on a first come, first served basis.  Children who haven’t registered will not be accepted.
",ECD,False,,True,3,False,,False,,False,,False,False,True,True,False,False,True,False,TT,Term Time,,Breakfast Club
972,Hitherfield Primary School - Breakfast Club,020 8769 8428,,breakfastandafterschoolclub@hitherfield.co.uk,http://www.hitherfield.co.uk/Special-Educational-Needs-and-Disabilities,https://www.hitherfield.co.uk/parents/basc,10/03/2010,,03/02/2022,"Breakfast Club for children attending Hitherfield Primary School.

",ECD,False,,True,4,False,,True,20,False,,False,False,True,True,False,False,True,False,TT,Term Time,,Breakfast Club
