System_Ref,FIS_Provider_Name,Upload_to_FIDy,Age_Group_Description,Number_Registered_For,Number_Currently_Caring_For,Number_Of_Vacancies
7075,YPM Childcare Provider at Granton,ECD,5-8,35,,
7075,YPM Childcare Provider at Granton,ECD,5-7,41,,
7102,Patmos Area Community Association (PACCA),FSD,0-5,26,,
7102,Patmos Area Community Association (PACCA),FSD,3-5,26,,
7102,Patmos Area Community Association (PACCA),FSD,5-8,26,,
7102,Patmos Area Community Association (PACCA),FSD,5-7,26,,
7103,Pacca Out Of School Project,FSD,0-5,26,,
7103,Pacca Out Of School Project,FSD,3-5,26,,
7103,Pacca Out Of School Project,FSD,5-8,26,,
7103,Pacca Out Of School Project,FSD,5-7,26,,
7110,Pacca Out Of School Project,FSD,0-5,26,,
7110,Pacca Out Of School Project,FSD,3-5,26,,
7110,Pacca Out Of School Project,FSD,5-8,26,,
7110,Pacca Out Of School Project,FSD,5-7,26,,
7120,Young People Matter At The Old  Laundry - After School Club,ECD,0-5,12,,
7120,Young People Matter At The Old  Laundry - After School Club,ECD,3-5,12,,
7120,Young People Matter At The Old  Laundry - After School Club,ECD,5-7,32,,
7134,Pacca Out Of School Project,FSD,0-5,26,,
7134,Pacca Out Of School Project,FSD,3-5,26,,
7134,Pacca Out Of School Project,FSD,5-8,26,,
7134,Pacca Out Of School Project,FSD,5-7,26,,
7200,Spiral Skills Cic,FSD,14-24,,,
7240,Brixton Recreation Centre Play Scheme,FSD,5-8,50,,
7240,Brixton Recreation Centre Play Scheme,FSD,5-7,50,,
7242,Super Camps at Dunraven School,FSD,0-5,120,,
7242,Super Camps at Dunraven School,FSD,3-5,24,,
7242,Super Camps at Dunraven School,FSD,5-8,120,,
7242,Super Camps at Dunraven School,FSD,5-7,120,,
7244,Walnut Tree Walk Primary School - Breakfast Club,ECD,4-11,,,
7252,Dewdrops Play Scheme/nursery - After School Club,ECD,0-5,20,,
7252,Dewdrops Play Scheme/nursery - After School Club,ECD,5-8,20,,
7253,Dewdrops Play Scheme/nursery - Breakfast Club,ECD,0-5,20,,
7253,Dewdrops Play Scheme/nursery - Breakfast Club,ECD,5-8,20,,
7254,Dewdrops Play Scheme/Nursery,FSD,0-5,20,,
7254,Dewdrops Play Scheme/Nursery,FSD,3-5,8,,
7254,Dewdrops Play Scheme/Nursery,FSD,5-8,20,,
7254,Dewdrops Play Scheme/Nursery,FSD,0-1,3,,
7254,Dewdrops Play Scheme/Nursery,FSD,2-2,7,,
7261,Fit For Sport At Paxton Primary School - After School Club,ECD,4-11,,,
7263,Glenbrook Primary School - Breakfast Club,FSD,5-11,,,
7264,Glenbrook Primary School - After School Club,FSD,4-11,,,
7268,St John's (Angell Town) Church Of England P S - Breakfast Club,FSD,5-11,,,
7272,St Andrew's Church Of England Primary School - Breakfast Club,ECD,4-11,,,
7273,St Andrew's Church Of England Primary School - After School Club,ECD,4-11,,,
7279,Pacca Out Of School Project,FSD,0-5,26,,
7279,Pacca Out Of School Project,FSD,3-5,26,,
7279,Pacca Out Of School Project,FSD,5-8,26,,
7279,Pacca Out Of School Project,FSD,5-7,26,,
7280,Sally Kids Care,ECD,0-5,20,,
7280,Sally Kids Care,ECD,3-5,20,,
7280,Sally Kids Care,ECD,5-8,20,,
7280,Sally Kids Care,ECD,5-7,20,,
7280,Sally Kids Care,ECD,2-2,20,,
7281,Sally Kids Care,ECD,0-5,20,,
7281,Sally Kids Care,ECD,3-5,20,,
7281,Sally Kids Care,ECD,5-8,20,,
7281,Sally Kids Care,ECD,5-7,20,,
7281,Sally Kids Care,ECD,2-2,20,,
7282,Sally Kids Care,FSD,0-5,20,,
7282,Sally Kids Care,FSD,3-5,20,,
7282,Sally Kids Care,FSD,5-8,20,,
7282,Sally Kids Care,FSD,5-7,20,,
7282,Sally Kids Care,FSD,2-2,20,,
7295,Cassandra Learning Centre (CLC),FSD,10-25,,,
7315,Alifya Education Limited,FSD,5-7,20,,
7333,South Central Youth Ltd,FSD,12-19,,,
7352,Papa's Park And Cafe - Open Access Playground,FSD,0-25,,,
7412,Keen London,FSD,4-14,,,
7421,Care Trade - The School House Cafe,FSD,18-25,,,
7427,Oasis Nature Garden,FSD,5-8,25,,
7433,Coin Street Youth Night,FSD,8-19,,,
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,FSD,0-5,190,,
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,FSD,5-8,190,,
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,FSD,12-21,,,
7440,Coin Street Under 20's Antenatal Group,FSD,16-20,,,
7583,Explore Learning Nine Elms,FSD,3-5,5,,
7583,Explore Learning Nine Elms,FSD,5-7,125,,
7588,Rainbow Trust Children's Charity,FSD,0-18,,,
7605,YPM After-School Club At St John's Angell Town,FSD,0-5,30,,
7605,YPM After-School Club At St John's Angell Town,FSD,3-5,5,,
7605,YPM After-School Club At St John's Angell Town,FSD,5-8,30,,
7605,YPM After-School Club At St John's Angell Town,FSD,5-7,30,,
7618,Disability Sports Club (DSC),FSD,5-16,,,
7624,Kids London S.E.N.D. Mediation Service,FSD,0-25,,,
7635,Lambeth Information And Advice Support Service (IASS) For Children And Young People,FSD,0-25,,,
7650,Royal Society For Blind Children,FSD,8-25,,,
7656,Disability Register And Liberty Card,FSD,0-18,,,
7658,Lambeth Information Advice And Support Service (IASS) For Parents Or Carers,FSD,0-25,,,
7672,Ambitious About Autism,FSD,0-25,,,
7688,Lifelong Family Links,FSD,0-5,24,,
7688,Lifelong Family Links,FSD,5-8,24,,
7688,Lifelong Family Links,FSD,5-25,,,
7691,Allen Edwards Speech And Language Resource Base,FSD,5-11,15,,
7698,Archbishop Sumner Speech And Language Resource Base,FSD,5-11,15,,
7699,Crown Lane Resource Base,FSD,5-11,15,,
7700,Dunraven Slcn Resource Base,FSD,5-16,30,,
7701,Jubilee Hearing Impairment Resource Base,FSD,3-12,15,,
7702,Lark Hall Centre For Autism,FSD,4-11,30,,
7703,City Heights Asd Resource Base,FSD,11-18,15,,
7704,The Elmgreen School Hearing Impairment Resource Base,FSD,11-18,15,,
7705,London Nautical Asd Resource Base,FSD,11-18,15,,
7717,The Autism Project,FSD,18-25,,,
7718,Care Trade Uk,FSD,18-25,,,
7727,Kids' City At St Leonards,FSD,0-5,25,,
7727,Kids' City At St Leonards,FSD,5-8,25,,
7727,Kids' City At St Leonards,FSD,3-11,,,
8832,Play And Learn Cafe,ECD,0-5,,,
8855,YPM ASC At Fenstanton Primary School,FSD,0-5,30,,
8855,YPM ASC At Fenstanton Primary School,FSD,3-5,5,,
8855,YPM ASC At Fenstanton Primary School,FSD,5-8,30,,
8855,YPM ASC At Fenstanton Primary School,FSD,5-7,15,,
8871,Leap Confronting Conflict,ECD,11-25,,,
8923,Vauxhall City Farm - New Shoots,FSD,16-25,,,
8954,Fridays @ The Old Library,FSD,11-19,,,
8994,Young Minds,FSD,0-25,,,
9301,Fray Bambino After Care,FSD,0-5,15,,
9301,Fray Bambino After Care,FSD,5-8,15,,
9335,The Cochlear Implanted Children's Support Group (CICS Group),FSD,0-21,,,
9341,Hill Mead Primary School - Resource Base,FSD,5-11,15,,
9393,The Norwood School Breakfast Club,FSD,11-18,900,890,
9395,St Saviour's Church Of England Primary School After School Club,FSD,5-11,30,,
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,FSD,0-5,30,,
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,FSD,5-8,30,,
9471,Multi-Sports Holiday Camp,FSD,5-8,8,,
9476,St Stephen's Church Of England Primary School - Breakfast Club,FSD,4-11,,,
9477,St Mark's Church Of England Primary School - Breakfast Club,FSD,3-12,,,
9480,St John The Divine C Of E Primary School - Breakfast Club,FSD,5-11,,,
9509,Mosiac LGBT Youth Club,FSD,13-19,,,
9568,The Gaia Centre,FSD,13-25,,,
9569,Support For Young People At The Gaia Centre,FSD,13-25,,,
9741,Julian Cousins Sports,FSD,0-25,,,
9843,Kooth,FSD,10-25,,,
9844,Centrepoint,FSD,16-20,,,
9845,Young Carers Hub,FSD,16-21,,,
9846,Cruse Bereavement Care In Lambeth,FSD,0-18,,,
9847,South London And Maudsley - Community Camhs,FSD,0-18,,,
9848,Safer London - Csa Wellbeing Service,FSD,5-18,,,
9940,L.E.A.P. Yoga With Claudia,FSD,16-25,,,
9946,Parent And Infant Relationship Service (PAIRS) Together Time,FSD,0-4,,,
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),FSD,1-4,,,
9969,The Small Project - Baby Clothes Library,FSD,0-5,,,
9974,The Small Project - Baby Clothes Library,FSD,0-18,,,
9975,Coin Street Upgrade Yourself: Tutoring And Mentoring,FSD,10-18,,,
9976,Coin Street Neighbourhood Centre - Stay & Play,FSD,0-5,190,,
9976,Coin Street Neighbourhood Centre - Stay & Play,FSD,5-8,190,,
9984,Barracudas (Streatham),FSD,0-5,164,,
9984,Barracudas (Streatham),FSD,5-8,164,,
9984,Barracudas (Streatham),FSD,4-14,,,
9989,Whippersnappers Pre-Crawlers Baby Music Session,ECD,0-1,,,
9997,S.Y.C.T. Juniors Club,FSD,8-11,,,
9998,S.Y.C.T. Juniors Club & Inters Club,FSD,8-13,,,
9999,Community Education Foundatiion & Lyncx (CEF Lyncx) Charity,FSD,7-25,,,
10003,Right Track Project,FSD,8-25,,,
10005,4all Between The Tracks Afterschool Club (8 To 12 Years Old),FSD,8-12,,,
10006,4all Between The Tracks + Afterschool Club (13 To 17 Years Old),FSD,13-17,,,
10008,Afewee Boxing Classes - Minnows Club (5 To 10 Yrs Old),FSD,5-10,,,
10009,Afewee Boxing Classes - Junior Club (11 To 16 Yrs Old),FSD,10-16,,,
10010,Afewee Academy Football Classes (5 To 10 Years Old),FSD,5-10,,,
10011,Afewee Academy Football Classes  (10 To 16 Years Old),FSD,10-16,,,
10013,Autism Exchange,FSD,16-25,,,
10016,Code 7's True Project (The Road To Unlocking Excellence),FSD,16-21,,,
10017,Alford House Music Production Studio Sessions,FSD,11-21,,,
10018,Alford House Health And Fitness Studio Sessions,FSD,12-21,,,
10027,Employment Support At Ethelred Children's Centre,FSD,0-4,,,
10029,Chattertime At Ethelred Children's Centre - Invite Only,FSD,0-4,,,
10030,Womens Advice Surgery At Stockwell Children's Centre,FSD,0-4,,,
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,FSD,0-4,,,
10038,Chattertime At Stockwell Children's Centre,FSD,2-4,,,
10040,Citizens Advice At Stockwell Children's Centre,FSD,0-4,,,
10041,Get Going With Sewing At Stockwell Children's Centre,FSD,0-4,,,
10047,North Lambeth Better Start Area: Ethelred Children's Centre,FSD,0-4,,,
10048,Child Health Clinic At Stockwell Children's Centre,FSD,0-1,,,
10049,North Lambeth Better Start Area: Henry Fawcett Children's Centre,FSD,0-4,,,
10052,Stay And Play At Liz Atkinson Children's Centre,FSD,0-4,,,
10055,Toddler Story And Song Time At Stockwell Children's Centre,FSD,1-2,,,
10060,North Lambeth Better Start Area: St Stephen's Children's Centre,FSD,0-4,,,
10062,Brixton Stockwell Better Start Area: Jessop Children's Centre,FSD,0-4,,,
10063,Brixton Stockwell Better Start Area: Liz Atkinson Children's Centre,FSD,0-4,,,
10064,Brixton Tulse Hill Better Start Area: Loughborough Children's Centre,FSD,0-4,,,
10065,Brixton Tulse Hill Better Start Area: Jubilee Children's Centre,FSD,0-4,,,
10068,Brixton Tulse Hill Better Start Area: Effra At Brockwell Children's Centre,FSD,0-4,,,
10069,Baby Explorers At Henry Fawcett Children's Centre,FSD,0-1,,,
10070,Norwood Better Start Area: Benton's Lane Children's Centre,FSD,0-4,,,
10071,Norwood Better Start Area: Rosendale Children's Centre,FSD,0-4,,,
10072,Norwood Better Start Area: Crown Lane Children's Centre,FSD,0-4,,,
10074,Streatham Better Start Area: Hitherfield Children's Centre,FSD,0-4,,,
10076,Streatham Better Start Area: Sunnyhill Children's Centre,FSD,0-4,,,
10077,Streatham Better Start Area: Streatham Hub Children's Centre,FSD,0-4,,,
10084,Clapham And Brixton Hill Better Start Area: Maytree Children's Centre,FSD,0-4,,,
10085,Clapham And Brixton Hill Better Start Area - Clapham Manor Children's Centre,FSD,0-4,,,
10086,Clapham And Brixton Hill Better Start Area: Tree House Children's Centre,FSD,0-4,,,
10107,Baby And Me Messy Play At Loughborough Children's Centre,FSD,0-1,,,
10117,Small Group Stay And Play 0 To 4 Years At Streatham Hub Children's Centre,FSD,0-4,,,
10118,Meet and Greet for New Parents and Children at Sunnyhill Children''s Centre,FSD,0-4,,,
10119,Baby Explorers At Hitherfield Children's Centre,FSD,0-1.5,,,
10122,E.S.O.L. At Benton's Lane Children's Centre,FSD,0-4,,,
10125,Natural Thinkers At Brockwell One O'Clock Club,FSD,0-4,,,
10130,Toddler Time At Clapham Manor Children's Centre,FSD,0-1,,,
10132,Messy Play Small Group At Tree House Children's Centre,FSD,0-2,,,
10133,Muslim Women's Group At Brockwell One O'Clock Club,FSD,0-4,,,
10135,Stay And Play At Clapham Manor Children's Centre,FSD,0-4,,,
10138,Stay And Play At Tree House Children's Centre,FSD,0-4,,,
10139,Young Parents Group At Loughborough Children's Centre,FSD,16-24,,,
10141,Introduction To Solid Foods At Clapham Manor Children's Centre,FSD,0-2,,,
10142,Rising Stars Stay And Play At Jubilee Children's Centre,FSD,0-5,,,
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,FSD,0-4,,,
10150,Baby Explorers At Clapham Manor Children's Centre,FSD,0-1,,,
10152,Sensory Room Experience @ Clapham Manor Children's Centre,FSD,0-4,,,
10155,E.S.O.L. At Clapham Manor Children's Centre,FSD,0-4,,,
